iter	RMSE
0	241.7494316
1	239.7033928
2	237.6530154
3	235.6275464
4	233.6172358
5	231.6544321
6	229.6820552
7	227.7135947
8	225.7904931
9	223.8993972
10	221.9933933
11	220.1127697
12	218.2361274
13	216.4143034
14	214.5936685
15	212.7952317
16	210.9895905
17	209.2075699
18	207.4524143
19	205.6998983
20	204.0052726
21	202.3144625
22	200.6120607
23	198.9107256
24	197.234891
25	195.5974486
26	193.9557719
27	192.343705
28	190.7258845
29	189.1590116
30	187.5863021
31	186.0362363
32	184.5011444
33	182.9941084
34	181.4781141
35	179.9820097
36	178.5216477
37	177.0419628
38	175.5845172
39	174.1282505
40	172.6880771
41	171.2771077
42	169.8823056
43	168.4834447
44	167.1147813
45	165.771298
46	164.4193654
47	163.105149
48	161.7865523
49	160.4698773
50	159.1787748
51	157.895104
52	156.6307152
53	155.3680369
54	154.1288558
55	152.8689375
56	151.671671
57	150.4638877
58	149.2772804
59	148.0918709
60	146.9166955
61	145.7487266
62	144.5767163
63	143.4256364
64	142.2975854
65	141.1789813
66	140.0700265
67	138.9680898
68	137.8788003
69	136.7614784
70	135.6764482
71	134.6328049
72	133.6043744
73	132.5325815
74	131.5172353
75	130.49195
76	129.4814653
77	128.4797862
78	127.4733783
79	126.4906502
80	125.5019725
81	124.544238
82	123.5965425
83	122.6296102
84	121.68773
85	120.7561424
86	119.8334372
87	118.9077933
88	118.0029815
89	117.1207235
90	116.23147
91	115.3474644
92	114.4658426
93	113.5988618
94	112.7440472
95	111.8990742
96	111.0527974
97	110.236903
98	109.4077614
99	108.5789287
100	107.7738269
101	106.9657606
102	106.1529313
103	105.3700961
104	104.5642097
105	103.8046107
106	103.0272815
107	102.2674091
108	101.5176159
109	100.7945799
110	100.0555756
111	99.316324
112	98.60779908
113	97.88383328
114	97.1574886
115	96.44211919
116	95.71794759
117	95.02699012
118	94.34137607
119	93.66246689
120	92.99418072
121	92.34307607
122	91.68811768
123	91.03839188
124	90.40620439
125	89.76688141
126	89.1398203
127	88.49811911
128	87.87062683
129	87.25587473
130	86.66112889
131	86.05410974
132	85.46326549
133	84.85469538
134	84.24613133
135	83.65023888
136	83.06062043
137	82.48634553
138	81.9106434
139	81.35454791
140	80.79231943
141	80.24388595
142	79.69183644
143	79.14571181
144	78.58703894
145	78.04485531
146	77.50838755
147	76.98126295
148	76.46987653
149	75.97415158
150	75.46599212
151	74.96199224
152	74.47432208
153	73.96479593
154	73.45714275
155	72.99421718
156	72.52026086
157	72.02634905
158	71.56367168
159	71.08521733
160	70.63007747
161	70.1599533
162	69.69042791
163	69.22216497
164	68.76064929
165	68.31630587
166	67.85783871
167	67.43515196
168	66.99147067
169	66.56454714
170	66.14936413
171	65.73243021
172	65.30731489
173	64.88592446
174	64.4558151
175	64.02611075
176	63.62137433
177	63.20398704
178	62.79233035
179	62.41015503
180	62.02910449
181	61.64041609
182	61.25241892
183	60.85713168
184	60.4774792
185	60.1107428
186	59.75410866
187	59.37143208
188	59.01527125
189	58.6450893
190	58.27949897
191	57.93484218
192	57.57005232
193	57.20819024
194	56.87042622
195	56.53386234
196	56.19540737
197	55.84446187
198	55.50018043
199	55.18134859
200	54.85672196
201	54.53022958
202	54.20944443
203	53.90562871
204	53.58280327
205	53.26694047
206	52.94847927
207	52.62198846
208	52.31181024
209	51.99320415
210	51.70104757
211	51.39209958
212	51.09734764
213	50.80526341
214	50.50074465
215	50.22123046
216	49.94207008
217	49.67306559
218	49.3987151
219	49.11736929
220	48.83830005
221	48.56107074
222	48.28392916
223	48.02128525
224	47.74410665
225	47.46731147
226	47.2059615
227	46.93984917
228	46.68943072
229	46.42904589
230	46.1838959
231	45.9154777
232	45.67977689
233	45.42723427
234	45.17073431
235	44.92602541
236	44.67237724
237	44.42906725
238	44.17999693
239	43.95202057
240	43.72259606
241	43.48447355
242	43.26104723
243	43.03723227
244	42.82476345
245	42.60208862
246	42.38127097
247	42.16341425
248	41.94708718
249	41.73182021
250	41.52366947
251	41.29590562
252	41.07203483
253	40.85936117
254	40.65679611
255	40.445156
256	40.22790641
257	40.02256366
258	39.80953604
259	39.61795847
260	39.42080314
261	39.2405085
262	39.05147433
263	38.85248984
264	38.65623833
265	38.46623169
266	38.28724181
267	38.09057097
268	37.90988135
269	37.7324727
270	37.5349585
271	37.35553124
272	37.17976242
273	36.99778175
274	36.81837472
275	36.64090832
276	36.47144234
277	36.29976542
278	36.12929241
279	35.96096351
280	35.79817375
281	35.63227615
282	35.4660942
283	35.30071099
284	35.13357863
285	34.96189002
286	34.79122809
287	34.62438706
288	34.45864245
289	34.30509635
290	34.15699768
291	33.99587222
292	33.85199083
293	33.70859843
294	33.55747401
295	33.41368432
296	33.26627884
297	33.11773413
298	32.96779049
299	32.82581033
300	32.679695
301	32.53291374
302	32.40409681
303	32.26598577
304	32.12293656
305	31.9840778
306	31.84781301
307	31.7209935
308	31.57795476
309	31.45057703
310	31.32512036
311	31.19013818
312	31.05869793
313	30.92591785
314	30.7900203
315	30.66649464
316	30.53050318
317	30.41264526
318	30.28326585
319	30.1533766
320	30.03327403
321	29.91168958
322	29.78940438
323	29.67208154
324	29.54515843
325	29.42362996
326	29.30853453
327	29.18219355
328	29.07280054
329	28.95940242
330	28.83789329
331	28.71377269
332	28.6022271
333	28.48295967
334	28.36870465
335	28.25662214
336	28.14486833
337	28.03209445
338	27.91413405
339	27.80764258
340	27.70455878
341	27.58987732
342	27.47294824
343	27.36835309
344	27.25859924
345	27.15598938
346	27.04396384
347	26.94066647
348	26.83451987
349	26.72988786
350	26.62723012
351	26.52725463
352	26.423326
353	26.32025213
354	26.21295572
355	26.11162877
356	26.01387935
357	25.91881853
358	25.81600078
359	25.7281413
360	25.63652146
361	25.53960236
362	25.45129088
363	25.35664792
364	25.25588375
365	25.16465525
366	25.07229882
367	24.97847252
368	24.88758479
369	24.79459596
370	24.6987905
371	24.60539697
372	24.51729225
373	24.42580373
374	24.33686901
375	24.24751713
376	24.15984208
377	24.07139678
378	23.98398742
379	23.90658099
380	23.82551315
381	23.73661424
382	23.65782052
383	23.5680707
384	23.4832305
385	23.41058141
386	23.32403726
387	23.24497325
388	23.16473326
389	23.07727853
390	22.99909114
391	22.92122135
392	22.83754434
393	22.76364137
394	22.6926147
395	22.61051291
396	22.53445541
397	22.45391015
398	22.38048244
399	22.30424179
400	22.23622855
401	22.16207646
402	22.07982716
403	22.0030651
404	21.9304158
405	21.85194644
406	21.78427465
407	21.71562611
408	21.64249406
409	21.56873256
410	21.49522128
411	21.42163263
412	21.34824628
413	21.27663926
414	21.21218501
415	21.14673956
416	21.08169218
417	21.01149812
418	20.93953212
419	20.87235617
420	20.80280649
421	20.73697661
422	20.6690695
423	20.60677257
424	20.54397483
425	20.4787765
426	20.41613731
427	20.35443038
428	20.28646732
429	20.21733455
430	20.15106464
431	20.08754649
432	20.01981337
433	19.95483872
434	19.88619054
435	19.82490052
436	19.76556756
437	19.70588094
438	19.64428235
439	19.58033799
440	19.516159
441	19.45610408
442	19.39331226
443	19.32521321
444	19.26261455
445	19.19990298
446	19.14583663
447	19.08489988
448	19.02675214
449	18.96509214
450	18.9022993
451	18.84303901
452	18.78604472
453	18.73044826
454	18.67894004
455	18.62273053
456	18.56388772
457	18.50388236
458	18.45192671
459	18.39306954
460	18.33872565
461	18.2837415
462	18.22863759
463	18.17403514
464	18.11840723
465	18.06485941
466	18.01074318
467	17.95422225
468	17.89823689
469	17.8473099
470	17.79669854
471	17.74094336
472	17.68323341
473	17.63321942
474	17.58457753
475	17.53294618
476	17.47964302
477	17.42417748
478	17.37507229
479	17.32353203
480	17.27097028
481	17.21525649
482	17.16014943
483	17.10947051
484	17.05730065
485	17.01593523
486	16.96465059
487	16.91816686
488	16.87283081
489	16.82744544
490	16.77977777
491	16.73375398
492	16.68627296
493	16.63851597
494	16.58609235
495	16.53129618
496	16.48216611
497	16.43482267
498	16.39537003
499	16.35209471
